predictions,producto,fecha,CostesModelo,CostesEmpresa
0.0,1,2019-11-15,558.2692368,1280.9108664
0.0,1,2019-11-16,593.5341258,6069.0451635
0.0,1,2019-11-18,1295.1716778,1698.9159429
0.0,1,2019-11-19,626.9829786,3414.5211176999996
0.0,1,2019-11-20,580.1250213,10381.0964202
0.0,1,2019-11-21,864.7710984,8055.113031899999
0.0,1,2019-11-22,501.9932313,2340.0541494
0.0,1,2019-11-23,336.6846648,8385.019236
0.0,1,2019-11-25,1025.1242793,1521.2189124
0.0,1,2019-11-26,550.3997466000001,3056.2692632999997
0.0,1,2019-11-27,391.4121123,10270.881324
0.0,1,2019-11-28,1452.0617198999998,1340.6640885000002
0.0,1,2019-11-29,580.3854606,1981.802295
0.0,1,2019-11-30,367.56431910000003,7074.221200200001
0.0,1,2019-12-02,1302.5695617000001,1773.8450334
0.0,1,2019-12-03,4985.876203000001,7044.661470000001
0.0,1,2019-12-04,3463.8183580000004,8410.063816
0.0,1,2019-12-05,2353.500534,1740.717363
0.0,1,2019-12-06,0.0,1885.1018867999999
0.0,1,2019-12-07,234.23347529999998,3411.9519192
0.0,1,2019-12-09,1080.5908113,5219.6681394
0.0,1,2019-12-10,288.7145613,1117.4887251
0.0,1,2019-12-11,471.0783825,4941.3711501
0.0,1,2019-12-12,1113.3568908,1084.0187556
0.0,1,2019-12-13,582.4337805,955.8755810999999
0.0,1,2019-12-14,189.50126580000003,2550.2075478
0.0,1,2019-12-16,839.4803307000001,7157.9770713
0.0,1,2019-12-17,793.5022359,1655.2466072999998
0.0,1,2019-12-18,681.8934375,7779.0192183
0.0,1,2019-12-19,804.5603478,1591.2700452
0.0,1,2019-12-20,554.0458968,2159.4993255
0.0,1,2019-12-21,269.2590417,4757.4869265
0.0,1,2019-12-23,996.0536223,9011.19978
0.0,1,2019-12-24,1107.5216426999998,754.8586748999999
0.0,1,2019-12-25,0.0,4739.5940427
0.0,1,2019-12-26,744.4903752,1121.1067197
0.0,1,2019-12-27,835.8201027,979.1954568
0.0,1,2019-12-28,108.09638729999999,4722.461360099999
0.0,1,2019-12-30,1024.6737897,7196.6206323
0.0,1,2019-12-31,441.33903000000004,2730.4737768
0.0,1,2020-01-01,0.0,9479.1880854
