predictions,producto,fecha,CostesModelo,CostesEmpresa
0.0,1,2019-11-15,635.5774755,1280.9108664
0.0,1,2019-11-16,129.1567761,6069.0451635
0.0,1,2019-11-18,928.078965,1698.9159429
0.0,1,2019-11-19,317.32065090000003,3414.5211176999996
0.0,1,2019-11-20,329.8780485,10381.0964202
0.0,1,2019-11-21,844.3794051,8055.113031899999
0.0,1,2019-11-22,613.3204737,2340.0541494
0.0,1,2019-11-23,129.1567761,8385.019236
0.0,1,2019-11-25,1097.7446106,1521.2189124
0.0,1,2019-11-26,510.3272889,3056.2692632999997
0.0,1,2019-11-27,258.3135522,10270.881324
0.0,1,2019-11-28,815.1327756,1340.6640885000002
0.0,1,2019-11-29,621.6193367999999,1981.802295
0.0,1,2019-11-30,129.1567761,7074.221200200001
0.0,1,2019-12-02,914.1208263000001,1773.8450334
0.0,1,2019-12-03,4247.144517000001,7044.661470000001
0.0,1,2019-12-04,3045.417452,8410.063816
0.0,1,2019-12-05,2460.245018,1740.717363
0.0,1,2019-12-07,71.4800295,3411.9519192
0.0,1,2019-12-09,1351.6306947,5219.6681394
0.0,1,2019-12-10,1476.2121857999998,1117.4887251
0.0,1,2019-12-11,645.7838805,4941.3711501
0.0,1,2019-12-12,1171.132182,1084.0187556
0.0,1,2019-12-13,355.9642119,955.8755810999999
0.0,1,2019-12-14,129.1567761,2550.2075478
0.0,1,2019-12-16,1097.6601438,7157.9770713
0.0,1,2019-12-17,386.5834269,1655.2466072999998
0.0,1,2019-12-18,412.8455628,7779.0192183
0.0,1,2019-12-19,1158.4480842000003,1591.2700452
0.0,1,2019-12-20,500.1983118,2159.4993255
0.0,1,2019-12-23,1423.3078133999998,9011.19978
0.0,1,2019-12-24,503.7811119,754.8586748999999
0.0,1,2019-12-26,617.4734247,1121.1067197
0.0,1,2019-12-27,964.5756615,979.1954568
0.0,1,2019-12-28,129.1567761,4722.461360099999
0.0,1,2019-12-30,1093.5986985000002,7196.6206323
0.0,1,2019-12-31,157.0730535,2730.4737768
0.0,1,2020-01-02,772.8501033,1858.8327120000001
0.0,1,2020-01-03,1429.3683062999999,1234.8271881
0.0,1,2020-01-04,129.1567761,5566.3128477
0.0,1,2020-01-07,314.2376127,1438.9060158
0.0,1,2020-01-08,472.4016957,4634.5173435
0.0,1,2020-01-09,1300.630562,1980.247654
0.0,1,2020-01-10,437.4183627,993.4703460000001
0.0,1,2020-01-11,387.4703283,4652.4102273
0.0,1,2020-01-13,1139.0770314,7019.683802999999
0.0,1,2020-01-14,423.6150798,974.817261
0.0,1,2020-01-15,619.141644,3936.9553146
0.0,1,2020-01-16,1305.8778447,1173.7717695
0.0,1,2020-01-17,398.1694563,831.857202
0.0,1,2020-01-18,129.1567761,5081.473415699999
0.0,1,2020-01-20,1080.6752781,9225.731374199999
0.0,1,2020-01-21,249.3811881,1618.4120435999998
0.0,1,2020-01-22,227.6802594,4184.7034779
0.0,1,2020-01-23,1190.8481409,1015.1853525000001
